Name,Author,User Rating,Reviews,Price,Year,Genre
The Day the Crayons Quit,Drew Daywalt,999.0,8922,9,2013,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2012,Fiction
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2014,Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,Fiction
Strange Planet (Strange Planet Series),,4.9,9382,6,2019,Fiction
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction
The Book Thief,Markus Zusak,4.6,23148,6,2014,Fiction
JOURNEY TO THE ICE P,RH Disney,$99,978,$99,2014,Fiction
